"br_ouinstance","br_customer_id","br_customer_location","br_from_ship_point_id","br_to_ship_point_id","br_score","br_rank","br_created_date","br_created_by"
2,bb,"2tgw","2chikil","5l",1.00000002,1,2019-01-14 20:20:32,ML
2,bb,"6l","2albwil","5l",1.00000002,1,2019-01-14 20:20:34,ML
2,bb,jakartahub,"01","5l",1.00000002,1,2019-01-14 20:20:35,ML
2,bb,jakartahub,"10000435","5l",1.00000002,1,2019-01-14 20:20:37,ML
2,bb,jakartahub,"2321","5l",1.00000002,1,2019-01-14 20:20:38,ML
2,bb,jakartahub,shp_cemeng,"5l",1.00000000,1,2019-01-14 20:20:39,ML
2,bb,jakartahub,sp_jkt,"5l",1.00000000,1,2019-01-14 20:20:40,ML
2,bb,location00,"10000039","5l",1.00000002,1,2019-01-14 20:20:42,ML
2,bb,melwh,shp_cemeng,"5l",1.00000000,1,2019-01-14 20:20:43,ML
2,bb,melwh,shp_cilincing,"5l",1.00000000,1,2019-01-14 20:20:43,ML
2,bb,yardstick,sp_1,"5l",1.00000000,1,2019-01-14 20:20:47,ML
2,bb-oth,ss-chn-bo,td1058,"5l",1.00000002,1,2019-01-14 20:20:47,ML
2,c01,"10l","1","5l",1.00000002,1,2019-01-14 20:20:48,ML
2,c01,"10l",teasposu,"5l",1.00000002,1,2019-01-14 20:20:48,ML
2,c01,bng,"1","5l",1.00000002,1,2019-01-14 20:20:49,ML
2,c01,bng,"2053",wipro,1.00000002,1,2019-01-14 20:20:49,ML
2,c01,jakartahub,"2001","5l",1.00000002,1,2019-01-14 20:20:50,ML
2,c01,jakartahub,"3239","5l",1.00000002,1,2019-01-14 20:20:50,ML
2,c101,"3der","10000340","5l",1.00000002,1,2019-01-14 20:20:51,ML
2,cc1,"3ls","2chikil","5l",1.00000002,1,2019-01-14 20:20:51,ML
2,cl,india,"2233","5l",1.00000002,1,2019-01-14 20:20:52,ML
2,cl,jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:20:52,ML
2,coles,"3l","24pines","5l",1.00000002,1,2019-01-14 20:20:52,ML
2,cu1,tdm,"741","963",1.00000002,1,2019-01-14 20:20:53,ML
2,cus01,"10l","10000039","5l",1.00000002,1,2019-01-14 20:20:53,ML
2,cus01,jakartahub,"1","5l",1.00000002,1,2019-01-14 20:20:54,ML
2,cus987,lynk,mansp01,"1002",1.00000002,1,2019-01-14 20:20:56,ML
2,cust01new,jakartahub,"1","5l",1.00000002,1,2019-01-14 20:20:56,ML
2,customer05,"10l",td1058,"5l",1.00000002,1,2019-01-14 20:20:57,ML
